id,bad,w_pct_cnt_to_black,w_app_cnt_m1,w_app_time_minus_update_time,w_cpa_rt_days,w_cpc_cnt_week_cv,w_cpc_mthly_call_02_cnt,w_be_not_familiar,w_d_7_cnt,w_cnt_applied_over_cnt_all,w_most_familiar_applied,w_d_30_cnt,w_rpt_org_m3
245,0,0.050593938,-0.248885013,-0.133867924,-0.019167012,0.219471095,-0.156092085,0.070292526,0.098940128,0.108872828,0.06111476,0.082506884,-0.081371326
304,1,0.050593938,-0.114576736,-0.133867924,-0.019167012,-0.488645144,-0.156092085,-0.186296131,0.098940128,-0.146480844,0.06111476,0.082506884,-0.081371326
308,0,0.050593938,0.301451979,0.256830669,-0.019167012,0.219471095,0.133516041,0.070292526,0.098940128,0.214857769,0.06111476,0.172905067,0.162955769
328,0,0.050593938,0.033448676,0.132377357,-0.019167012,-0.190036537,-0.156092085,0.070292526,0.098940128,0.108872828,0.06111476,0.172905067,-0.081371326
330,0,0.050593938,0.301451979,0.256830669,-0.019167012,0.008388903,0.133516041,-0.13947193,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
346,1,-0.050609438,-0.114576736,0.02171007,0.168365271,0.219471095,0.444287528,0.070292526,0.098940128,-0.146480844,-0.103970127,0.172905067,-0.081371326
354,0,0.050593938,0.033448676,-0.133867924,0.168365271,0.008388903,0.133516041,0.290523645,0.098940128,0.214857769,-0.103970127,0.082506884,-0.081371326
358,1,0.050593938,0.301451979,0.256830669,0.003989988,0.008388903,0.133516041,0.070292526,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
362,0,0.050593938,0.033448676,0.02171007,-0.019167012,0.219471095,0.133516041,0.290523645,0.098940128,0.108872828,0.06111476,0.172905067,0.162955769
370,1,-0.050609438,0.301451979,-0.28968773,-0.019167012,0.219471095,-0.156092085,-0.186296131,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
385,0,-0.390181396,0.301451979,0.132377357,-0.019167012,0.219471095,0.444287528,0.070292526,0.098940128,-0.146480844,-0.103970127,0.172905067,0.162955769
454,1,0.050593938,0.301451979,0.02171007,-0.019167012,0.008388903,-0.156092085,-0.13947193,0.098940128,0.108872828,0.06111476,0.082506884,0.162955769
464,0,-0.050609438,0.033448676,-0.133867924,-0.09846067,0.219471095,0.133516041,0.290523645,0.098940128,0.214857769,0.06111476,0.082506884,-0.081371326
542,0,0.050593938,0.301451979,0.132377357,0.168365271,-0.190036537,0.133516041,-0.186296131,0.098940128,0.214857769,0.06111476,0.172905067,0.162955769
541,0,-0.050609438,0.301451979,-0.133867924,-0.09846067,-0.190036537,0.133516041,-0.186296131,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
602,0,-0.050609438,0.301451979,0.277022227,0.003989988,0.277022227,0.277022227,-0.186296131,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
607,0,-0.390181396,0.033448676,0.132377357,0.003989988,0.008388903,0.133516041,-0.13947193,0.098940128,-0.146480844,0.06111476,-0.061875188,0.162955769
613,0,0.050593938,-0.738327125,-0.133867924,0.168365271,0.219471095,0.133516041,-0.13947193,-0.690002775,-0.146480844,-0.103970127,-0.408212008,-0.57493887
640,0,0.050593938,-0.114576736,-0.133867924,-0.09846067,0.219471095,-0.156092085,0.070292526,0.098940128,0.108872828,0.06111476,0.172905067,-0.081371326
684,0,0.050593938,-0.114576736,-0.133867924,-0.019167012,0.008388903,-0.156092085,0.290523645,0.098940128,0.214857769,0.06111476,0.082506884,-0.081371326
698,0,0.050593938,0.033448676,0.132377357,0.168365271,0.008388903,0.133516041,0.290523645,0.098940128,0.214857769,-0.103970127,0.172905067,-0.081371326
700,0,0.050593938,0.033448676,0.132377357,-0.09846067,0.219471095,-0.156092085,-0.13947193,0.098940128,0.214857769,0.06111476,0.172905067,0.162955769
702,0,0.050593938,0.301451979,0.02171007,0.168365271,0.219471095,0.133516041,0.290523645,0.098940128,0.214857769,0.06111476,0.172905067,0.162955769
751,0,-0.050609438,0.301451979,0.277022227,0.003989988,0.277022227,0.277022227,-0.186296131,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
763,0,0.050593938,0.033448676,-0.28968773,-0.019167012,-0.190036537,-0.156092085,0.070292526,-0.086194664,0.214857769,0.06111476,-0.061875188,-0.081371326
766,0,0.050593938,-0.114576736,0.02171007,0.168365271,0.219471095,-0.156092085,-0.186296131,0.098940128,0.108872828,-0.103970127,0.172905067,-0.081371326
776,0,0.050593938,-0.114576736,-0.28968773,0.168365271,-0.190036537,-0.156092085,-0.186296131,0.098940128,0.214857769,0.06111476,0.082506884,-0.081371326
789,0,0.050593938,0.033448676,0.256830669,-0.019167012,-0.190036537,0.133516041,0.070292526,0.098940128,0.214857769,0.06111476,0.172905067,0.162955769
805,0,0.050593938,0.033448676,-0.133867924,0.168365271,-0.190036537,-0.156092085,0.290523645,-0.086194664,0.214857769,0.06111476,-0.061875188,0.162955769
817,0,-0.390181396,0.033448676,-0.133867924,0.168365271,0.219471095,0.133516041,0.070292526,0.098940128,0.108872828,-0.103970127,0.172905067,-0.081371326
821,0,0.050593938,-0.114576736,-0.28968773,-0.09846067,-0.190036537,-0.156092085,-0.13947193,-0.086194664,0.108872828,0.06111476,-0.408212008,-0.081371326
849,0,-0.050609438,0.301451979,0.277022227,0.003989988,0.277022227,0.277022227,-0.186296131,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
873,0,-0.050609438,0.033448676,-0.133867924,0.168365271,0.008388903,-0.156092085,-0.13947193,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
882,0,0.050593938,0.301451979,0.132377357,0.168365271,0.219471095,0.444287528,0.290523645,0.098940128,-0.057475643,-0.103970127,0.082506884,-0.081371326
886,0,-0.050609438,0.301451979,0.256830669,0.168365271,0.219471095,0.444287528,0.290523645,0.098940128,-0.146480844,-0.103970127,0.172905067,0.162955769
904,0,0.050593938,0.301451979,0.132377357,0.003989988,-0.488645144,-0.156092085,-0.186296131,0.098940128,0.214857769,0.06111476,0.082506884,0.162955769
840,0,0.050593938,0.033448676,-0.133867924,-0.09846067,0.008388903,-0.156092085,0.070292526,-0.086194664,0.214857769,0.06111476,-0.21804462,-0.081371326
422,0,-0.050609438,0.517209312,0.277022227,0.003989988,0.277022227,0.277022227,-0.186296131,0.098940128,-0.146480844,-0.103970127,0.172905067,0.517209312
946,0,0.050593938,0.301451979,0.256830669,-0.019167012,0.008388903,-0.156092085,0.070292526,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
953,0,0.050593938,0.301451979,0.256830669,0.168365271,0.008388903,0.444287528,0.070292526,0.098940128,0.108872828,-0.103970127,0.082506884,0.162955769
970,0,0.050593938,-0.248885013,-0.28968773,-0.019167012,0.219471095,-0.156092085,0.290523645,0.098940128,0.214857769,0.06111476,-0.21804462,-0.081371326
967,0,0.050593938,0.301451979,0.256830669,-0.019167012,-0.488645144,-0.156092085,-0.13947193,0.098940128,0.108872828,-0.103970127,0.172905067,0.162955769
982,0,0.050593938,0.301451979,-0.133867924,0.168365271,0.219471095,0.444287528,0.070292526,0.098940128,0.108872828,-0.103970127,-0.061875188,0.162955769
989,0,0.050593938,-0.439143824,-0.133867924,-0.019167012,0.008388903,0.133516041,-0.186296131,0.098940128,-0.146480844,-0.103970127,-0.061875188,-0.57493887
997,0,0.050593938,0.301451979,0.256830669,0.168365271,0.219471095,0.133516041,0.290523645,0.098940128,0.214857769,-0.103970127,0.172905067,0.162955769
1008,0,0.050593938,0.301451979,0.256830669,-0.019167012,-0.488645144,-0.156092085,0.070292526,0.098940128,-0.146480844,0.06111476,0.172905067,0.162955769
1036,0,0.050593938,-0.439143824,-0.28968773,-0.019167012,0.008388903,-0.156092085,0.070292526,-0.086194664,0.214857769,0.06111476,-0.408212008,-0.57493887
1059,0,0.050593938,-0.114576736,0.132377357,0.168365271,0.219471095,0.133516041,0.070292526,0.098940128,0.214857769,0.06111476,0.172905067,-0.081371326
1069,0,0.050593938,-0.114576736,-0.133867924,-0.09846067,0.219471095,0.444287528,0.290523645,0.098940128,0.108872828,-0.103970127,-0.061875188,-0.081371326
1078,0,0.050593938,0.033448676,-0.133867924,0.168365271,0.219471095,0.444287528,0.070292526,0.098940128,0.214857769,0.06111476,-0.061875188,0.162955769
1104,0,0.050593938,-0.439143824,0.02171007,-0.019167012,0.219471095,-0.156092085,0.070292526,0.098940128,0.108872828,-0.103970127,-0.21804462,-0.081371326
1151,1,0.050593938,0.033448676,0.02171007,0.168365271,0.008388903,0.133516041,0.070292526,0.098940128,-0.057475643,0.06111476,0.172905067,0.162955769
