train_id,score,config/criterion,config/n_estimators,config/max_depth
1,0.9513333333333334,entropy,140,9
48,0.951,entropy,151,9
73,0.95,entropy,105,8
49,0.95,gini,88,9
75,0.949,gini,143,8
74,0.949,gini,88,9
100,0.949,entropy,90,9
84,0.9486666666666668,gini,98,8
9,0.9483333333333334,gini,140,8
89,0.948,gini,60,9
58,0.948,gini,62,8
66,0.948,gini,64,9
97,0.948,entropy,129,8
34,0.9473333333333334,gini,111,9
80,0.9473333333333334,entropy,126,8
21,0.9473333333333334,entropy,198,8
77,0.947,gini,78,8
32,0.947,entropy,131,8
45,0.9466666666666668,gini,60,7
15,0.9466666666666668,gini,69,8
26,0.9463333333333334,entropy,125,7
63,0.9463333333333334,gini,139,8
99,0.9456666666666668,entropy,149,7
70,0.9453333333333334,entropy,113,7
28,0.9453333333333334,entropy,149,7
3,0.945,gini,55,7
65,0.945,gini,195,7
79,0.9446666666666668,entropy,72,7
61,0.9446666666666668,entropy,110,7
68,0.9443333333333334,gini,173,7
95,0.944,entropy,155,7
52,0.9436666666666668,entropy,106,7
5,0.9436666666666668,entropy,179,7
37,0.9433333333333334,gini,111,7
47,0.9426666666666668,gini,73,7
27,0.9423333333333334,gini,53,6
83,0.9423333333333334,entropy,128,6
6,0.9423333333333334,entropy,164,7
31,0.942,gini,86,6
2,0.9413333333333334,entropy,61,6
64,0.9413333333333334,entropy,154,6
20,0.9413333333333334,gini,55,6
98,0.941,entropy,88,6
87,0.9406666666666668,gini,87,6
19,0.9403333333333334,entropy,179,5
72,0.94,entropy,54,6
90,0.94,gini,137,6
29,0.9396666666666668,entropy,94,5
71,0.9393333333333334,gini,187,6
30,0.9393333333333334,gini,175,6
81,0.9386666666666666,entropy,178,5
38,0.9383333333333334,entropy,129,5
24,0.9376666666666666,entropy,158,5
10,0.9376666666666666,entropy,199,5
94,0.9373333333333334,gini,87,5
33,0.9373333333333334,entropy,125,5
18,0.9373333333333334,entropy,102,5
57,0.9373333333333334,entropy,71,5
8,0.9373333333333334,gini,197,5
46,0.9363333333333334,entropy,172,4
51,0.936,gini,98,6
43,0.9356666666666666,gini,194,5
36,0.9353333333333332,gini,85,5
16,0.9353333333333332,gini,187,5
22,0.9343333333333332,gini,178,5
62,0.933,entropy,91,4
85,0.9323333333333332,entropy,67,4
42,0.9313333333333332,entropy,70,4
82,0.9276666666666666,entropy,134,4
41,0.9263333333333332,entropy,133,4
25,0.9256666666666666,entropy,55,4
35,0.9253333333333332,entropy,141,4
50,0.9233333333333332,entropy,148,5
53,0.9233333333333332,entropy,166,4
67,0.9206666666666666,gini,68,4
11,0.9176666666666666,gini,91,4
44,0.9176666666666666,gini,101,4
92,0.9153333333333332,entropy,64,3
54,0.913,entropy,76,4
55,0.9126666666666666,entropy,153,3
7,0.9123333333333332,gini,188,4
69,0.9116666666666666,gini,53,3
14,0.9116666666666666,entropy,161,3
40,0.9113333333333332,gini,143,4
91,0.9113333333333332,entropy,154,3
56,0.911,entropy,108,3
13,0.9096666666666666,entropy,76,4
4,0.9096666666666666,gini,147,3
93,0.908,gini,147,3
17,0.908,gini,92,3
12,0.9073333333333332,gini,196,3
76,0.907,gini,72,4
39,0.907,gini,165,3
60,0.9066666666666666,entropy,84,3
88,0.906,entropy,167,3
23,0.9056666666666666,entropy,185,3
96,0.9053333333333332,gini,129,3
86,0.9043333333333332,entropy,74,3
78,0.904,entropy,160,3
59,0.9016666666666666,entropy,73,3
